ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt
9,11,1,1,1,0,0.00064,0.0305,0,0,0,0,0,0,1.1022,0,0,0,0,0,0
13,12,1,1,1,0,0.00069,0.03946,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
21,19,1,1,1,0,0.00088,0.05709,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
36,35,1,1,1,0,0.0007,0.03652,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
37,40,1,1,1,0,0.00036,0.02519,0,0,0,0,0,0,1.0686,0,0,0,0,0,0
38,41,1,1,1,0,0.00036,0.02519,0,0,0,0,0,0,1.0867,0,0,0,0,0,0
55,56,1,1,1,0,0.00034,0.02097,0,0,0,0,0,0,1.0755,0,0,0,0,0,0
59,61,1,1,1,0,0.00034,0.02097,0,0,0,0,0,0,1.0596,0,0,0,0,0,0
70,72,1,1,1,0,0.00081,0.03,0,0,0,0,0,0,1.0876,0,0,0,0,0,0
107,109,1,1,1,0,0.00075,0.02445,-0.00832,0,0,0,0,0,1.0647,0,0,0,0,0,0
108,110,1,1,1,0,0.0004,0.0253,0,0,0,0,0,0,1.0701,0,0,0,0,0,0
144,147,1,1,1,0,0.00053,0.02875,-0.016,0,0,0,0,0,1.077,0,0,0,0,0,0
173,174,1,1,1,0,0.00064,0.0305,0,0,0,0,0,0,1.0617,0,0,0,0,0,0
182,183,1,1,1,0,0.00023,0.023,0,0,0,0,0,0,1.0743,0,0,0,0,0,0
181,184,1,1,1,0,0.00023,0.023,0,0,0,0,0,0,1.0743,0,0,0,0,0,0
188,187,1,1,1,0,0.00032,0.04392,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
191,193,1,1,1,0,0.0003,0.02732,0,0,0,0,0,0,1.1087,0,0,0,0,0,0
198,200,1,1,1,0,0.00035,0.02375,0,0,0,0,0,0,1.0731,0,0,0,0,0,0
212,213,1,1,1,0,0.00051,0.0275,0,0,0,0,0,0,1.1039,0,0,0,0,0,0
217,215,1,1,1,0,0.00084,0.06858,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
220,222,1,1,1,0,0.00033,0.02711,0,0,0,0,0,0,1.0861,0,0,0,0,0,0
224,222,1,1,1,0,0.00032,0.0464,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
231,229,1,1,1,0,0.00113,0.05647,0,0,0,0,0,0,0.9999,0,0,0,0,0,0
228,230,1,1,1,0,0.00075,0.02469,-0.008,0,0,0,0,0,1.0454,0,0,0,0,0,0
3009,183,1,1,1,0,0.00029,0.00317,0.09184,0,0,0,0,0,0,0,0,0,0,0,0
3009,184,1,1,1,0,0.0003,0.00326,0.09536,0,0,0,0,0,0,0,0,0,0,0,0
244,84,1,1,1,0,0.01475,0.08595,0.13036,0,0,0,0,0,0,0,0,0,0,0,0
3007,92,1,1,1,0,0.01244,0.06959,0.1181,0,0,0,0,0,0,0,0,0,0,0,0
3007,122,1,1,1,0,0.01207,0.06905,0.11519,0,0,0,0,0,0,0,0,0,0,0,0
146,3008,1,1,1,0,0.00168,0.01604,0.51488,0,0,0,0,0,0,0,0,0,0,0,0
3010,172,1,1,1,0,0.0018,0.01616,0.0484,0,0,0,0,0,0,0,0,0,0,0,0
3010,173,1,1,1,0,0.0018,0.01616,0.0484,0,0,0,0,0,0,0,0,0,0,0,0
3011,63,1,1,1,0,0.00223,0.02209,0.69011,0,0,0,0,0,0,0,0,0,0,0,0
3011,64,1,1,1,0,0.00223,0.02209,0.69011,0,0,0,0,0,0,0,0,0,0,0,0
99,3006,1,1,1,0,0.00293,0.03054,0.95472,0,0,0,0,0,0,0,0,0,0,0,0
