bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number
1,1,1,1,1,1.1069,-0.31071,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,1,1.1079,1.3812,0,0,0,0,0,0,0,0,0,0,0
3,3,1,1,1,1.0662,-30.755,0,0,0,0,0,0,0,0,0,0,0
4,4,1,1,1,1.0662,-30.764,0,0,0,0,0,0,0,0,0,0,0
5,5,1,1,1,1.0773,-32.997,0,0,0,0,0,0,0,0,0,0,0
6,6,1,1,1,1.0757,-6.0732,0,0,0,0,0,0,0,0,0,0,0
7,7,1,1,1,1.0757,-6.0744,0,0,0,0,0,0,0,0,0,0,0
8,8,1,1,1,1.0906,-18.377,0,0,0,0,0,0,0,0,0,0,0
9,9,1,1,1,1.0909,-18.36,0,0,0,0,0,0,0,0,0,0,0
10,10,1,1,1,1.11,-21.782,0,0,0,0,0,0,0,0,0,0,0
11,11,1,1,1,1.0257,-13.207,0,0,0,0,0,0,0,0,0,0,0
12,12,1,1,1,1.0257,-13.198,0,0,0,0,0,0,0,0,0,0,0
13,13,1,1,1,1.0119,-17.614,0,0,0,0,0,0,0,0,0,0,0
14,14,1,1,1,1.0431,-18.21,0,0,0,0,0,0,0,0,0,0,0
15,15,1,1,1,1.0433,-18.206,0,0,0,0,0,0,0,0,0,0,0
16,16,1,1,1,1.0433,-18.196,0,0,0,0,0,0,0,0,0,0,0
17,17,1,1,1,1.0312,-22.618,0,0,0,0,0,0,0,0,0,0,0
18,18,1,1,1,1.0309,-22.242,0,0,0,0,0,0,0,0,0,0,0
19,19,1,1,1,1.027,-11.565,0,0,0,0,0,0,0,0,0,0,0
20,20,1,1,1,1.027,-11.555,0,0,0,0,0,0,0,0,0,0,0
21,21,1,1,1,1.022,-21.301,0,0,0,0,0,0,0,0,0,0,0
22,22,1,1,1,1.0159,-17.334,0,0,0,0,0,0,0,0,0,0,0
23,23,1,1,1,1.0159,-17.334,0,0,0,0,0,0,0,0,0,0,0
24,24,1,1,2,1.0867,-25.163,0.1005,0.201,1.1,0.8519,0,0,1.4,-0.49,0,0,0
